sep=,
FPS,Frames,Total Objects,Static Objects,Dynamic Objects,OBB Collider,AABB Collider,Octree Depth,Octree Node Treshold,Octree Updates,Collision Checks,Collisions,Fit Tests,Time,Double dispatching
56,1703,500,0,500,0,500,4,4,1727,24836975,1814,1515077,30.005739,true
59,1788,750,0,750,0,750,4,4,1794,55561166,4108,2616452,30.008347,true
59,1781,1000,0,1000,0,1000,4,4,1793,96476175,7284,3728597,30.006197,true
57,1728,1250,0,1250,0,1250,4,4,1794,151147307,11687,4954719,30.016722,true
54,1622,500,0,500,0,500,4,4,1726,24823019,1812,1514209,30.006571,true
54,1646,750,0,750,0,750,4,4,1788,55367252,4104,2609184,30.006016,true
42,1271,1000,0,1000,0,1000,4,4,1785,96054221,7251,3713558,30.013153,true
18,541,1250,0,1250,0,1250,4,4,1784,150263494,11616,4929064,30.009108,true
31,941,500,0,500,0,500,4,4,1615,23352123,1675,1422902,30.026699,true
47,1433,750,0,750,0,750,4,4,1788,55367252,4104,2609184,30.031807,true
